old_id	lifted_id	method	symbol
ENSRNOG00000000001	ENSRNOG00000000001	direct	AABR07013255.1
ENSRNOG00000000007	ENSRNOG00000000007	direct	GAD1
ENSRNOG00000000008	ENSRNOG00000000008	direct	ALX4
ENSRNOG00000000009	ENSRNOG00000000009	direct	TMCO5B
ENSRNOG00000000010	ENSRNOG00000000010	direct	CBLN1
ENSRNOG00000000012	ENSRNOG00000000012	direct	TCF15
ENSRNOG00000000017	ENSRNOG00000000017	direct	STEAP1
ENSRNOG00000000021	NA	unmapped	AABR07061902.1
ENSRNOG00000000024	ENSRNOG00000000024	direct	HEBP1
ENSRNOG00000000033	ENSRNOG00000000033	direct	TMCC2
ENSRNOG00000000034	ENSRNOG00000000034	direct	NUAK2
ENSRNOG00000000035	ENSRNOG00000000035	direct	TMED11
ENSRNOG00000000036	ENSRNOG00000000036	direct	KLHDC8A
ENSRNOG00000000040	ENSRNOG00000000040	direct	RGD1304622
ENSRNOG00000000041	ENSRNOG00000000041	direct	SLC26A1
ENSRNOG00000000042	ENSRNOG00000000042	direct	XPR1
ENSRNOG00000000043	ENSRNOG00000000043	direct	IDUA
ENSRNOG00000000044	ENSRNOG00000000044	direct	TMEM175
ENSRNOG00000000047	ENSRNOG00000000047	direct	CD82
ENSRNOG00000000048	ENSRNOG00000000048	direct	GAK
ENSRNOG00000000053	ENSRNOG00000000053	direct	CRP
ENSRNOG00000000054	ENSRNOG00000000054	direct	ABHD8
ENSRNOG00000000055	ENSRNOG00000000055	direct	FCRL6
ENSRNOG00000000060	ENSRNOG00000090522	symbol	CPLX1
ENSRNOG00000000062	ENSRNOG00000000062	direct	PCGF3
ENSRNOG00000000064	ENSRNOG00000000064	direct	ATP5ME
ENSRNOG00000000065	ENSRNOG00000000065	direct	PDE6B
ENSRNOG00000000066	ENSRNOG00000000066	direct	FBXO28
ENSRNOG00000000068	ENSRNOG00000000068	direct	PPP2R5A
ENSRNOG00000000070	ENSRNOG00000000070	direct	DR1
ENSRNOG00000000073	ENSRNOG00000000073	direct	TMED5
ENSRNOG00000000075	ENSRNOG00000000075	direct	MTF2
ENSRNOG00000000081	ENSRNOG00000000081	direct	ANTXR2
