symbol	old_ensrnog	current_ensrnog	n_tissues_trainreg	tissues	in_current_annot	in_sc_corpus	category	importance
RT1-A1	ENSRNOG00000038999		8	ADRNL,BAT,BLOOD,CORTEX,LUNG,OVARY,SPLEEN,WAT-SC	FALSE	FALSE	MHC_RT1	high
RT1-A2	ENSRNOG00000030712		8	ADRNL,BAT,BLOOD,COLON,KIDNEY,LUNG,OVARY,WAT-SC	FALSE	FALSE	MHC_RT1	high
HSC70-PS2	ENSRNOG00000062247	ENSRNOG00000062247	7	ADRNL,BAT,HEART,HYPOTH,LUNG,SKM-VL,WAT-SC	TRUE	FALSE	ncRNA/pseudo	low
TMSB10	ENSRNOG00000042499		7	ADRNL,BAT,KIDNEY,LUNG,SPLEEN,TESTES,WAT-SC	FALSE	FALSE	real_curated	high
AABR07060872.1	ENSRNOG00000049829	ENSRNOG00000049829	6	ADRNL,BAT,KIDNEY,LUNG,SMLINT,WAT-SC	TRUE	FALSE	clone	low
LYVE1	ENSRNOG00000026902		6	ADRNL,BAT,COLON,LUNG,OVARY,WAT-SC	FALSE	FALSE	real_curated	high
NDUFA13	ENSRNOG00000020602		6	ADRNL,BAT,BLOOD,COLON,SPLEEN,WAT-SC	FALSE	FALSE	real_curated	high
AABR07015067.1	ENSRNOG00000060518		5	ADRNL,BAT,COLON,LIVER,SKM-VL	FALSE	FALSE	clone	low
AABR07015078.2	ENSRNOG00000059504		5	ADRNL,BAT,COLON,SKM-VL,WAT-SC	FALSE	FALSE	clone	low
AC142181.1	ENSRNOG00000033815	ENSRNOG00000033815	5	ADRNL,BLOOD,COLON,SPLEEN,WAT-SC	TRUE	FALSE	clone	low
C4A	ENSRNOG00000000443		5	ADRNL,BAT,KIDNEY,LIVER,SPLEEN	FALSE	FALSE	real_curated	high
GPT	ENSRNOG00000033915	ENSRNOG00000033915	5	ADRNL,BAT,HEART,LUNG,SKM-VL	TRUE	FALSE	real_curated	high
HAUS8L2	ENSRNOG00000009920		5	ADRNL,BAT,LUNG,SKM-GN,SKM-VL	FALSE	FALSE	real_curated	high
IGH-6	ENSRNOG00000048402		5	ADRNL,BAT,LIVER,LUNG,WAT-SC	FALSE	FALSE	immunoglobulin	low
RGD1564318	ENSRNOG00000050000		5	ADRNL,LUNG,SMLINT,SPLEEN,WAT-SC	FALSE	FALSE	predicted	low
RT1-CE16	ENSRNOG00000047706		5	ADRNL,BAT,BLOOD,OVARY,WAT-SC	FALSE	FALSE	MHC_RT1	high
RT1-CE7	ENSRNOG00000031090		5	ADRNL,BAT,BLOOD,OVARY,WAT-SC	FALSE	FALSE	MHC_RT1	high
TPI1	ENSRNOG00000050669		5	ADRNL,BLOOD,HYPOTH,KIDNEY,SKM-VL	FALSE	FALSE	real_curated	high
	ENSRNOG00000023385		4	BAT,BLOOD,CORTEX,KIDNEY	FALSE	FALSE	no_symbol	low
	ENSRNOG00000048199		4	BAT,BLOOD,CORTEX,WAT-SC	FALSE	FALSE	no_symbol	low
AABR07012131.1	ENSRNOG00000060439		4	COLON,OVARY,SMLINT,SPLEEN	FALSE	FALSE	clone	low
AABR07015081.2	ENSRNOG00000054945		4	BAT,LIVER,SKM-VL,WAT-SC	FALSE	FALSE	clone	low
AABR07035955.1	ENSRNOG00000062144		4	ADRNL,HEART,LUNG,SPLEEN	FALSE	FALSE	clone	low
AABR07051716.1	ENSRNOG00000060408		4	COLON,LUNG,SMLINT,SPLEEN	FALSE	FALSE	clone	low
AABR07065645.2	ENSRNOG00000047785		4	COLON,LUNG,SMLINT,SPLEEN	FALSE	FALSE	clone	low
AABR07065699.4	ENSRNOG00000058352		4	COLON,LUNG,SMLINT,SPLEEN	FALSE	FALSE	clone	low
AABR07065750.2	ENSRNOG00000050118		4	COLON,LUNG,OVARY,SMLINT	FALSE	FALSE	clone	low
AABR07065895.1	ENSRNOG00000055113		4	BLOOD,COLON,SMLINT,SPLEEN	FALSE	FALSE	clone	low
AC098459.1	ENSRNOG00000022738	ENSRNOG00000022738	4	ADRNL,BAT,LIVER,SKM-GN	TRUE	FALSE	clone	low
AC134224.1	ENSRNOG00000062127		4	ADRNL,BLOOD,HEART,SPLEEN	FALSE	FALSE	clone	low
AC141959.1	ENSRNOG00000028545		4	ADRNL,BAT,COLON,LUNG	FALSE	FALSE	clone	low
C4A	ENSRNOG00000047657		4	BLOOD,LIVER,LUNG,SPLEEN	FALSE	FALSE	real_curated	high
CD36	ENSRNOG00000040108		4	ADRNL,BAT,BLOOD,SKM-VL	FALSE	FALSE	real_curated	high
CFB	ENSRNOG00000051158		4	ADRNL,BAT,LUNG,WAT-SC	FALSE	FALSE	real_curated	high
CYP2B1	ENSRNOG00000033680		4	ADRNL,BAT,LUNG,WAT-SC	FALSE	FALSE	real_curated	high
GPSM3	ENSRNOG00000000441		4	BAT,COLON,SMLINT,WAT-SC	FALSE	FALSE	real_curated	high
MAN2B2	ENSRNOG00000061779		4	ADRNL,BAT,LUNG,WAT-SC	FALSE	FALSE	real_curated	high
MUC4	ENSRNOG00000001777		4	ADRNL,COLON,SMLINT,WAT-SC	FALSE	FALSE	real_curated	high
RPL41	ENSRNOG00000042233		4	BLOOD,COLON,KIDNEY,VENACV	FALSE	FALSE	ribosomal	low
RT1-CE10	ENSRNOG00000050210		4	ADRNL,BAT,BLOOD,OVARY	FALSE	FALSE	MHC_RT1	high
RT1-CE4	ENSRNOG00000039744		4	ADRNL,BAT,LUNG,OVARY	FALSE	FALSE	MHC_RT1	high
RT1-CE5	ENSRNOG00000000723		4	ADRNL,BAT,BLOOD,WAT-SC	FALSE	FALSE	MHC_RT1	high
RT1-S3	ENSRNOG00000000777		4	ADRNL,BAT,BLOOD,HEART	FALSE	FALSE	MHC_RT1	high
RT1-T24-3	ENSRNOG00000045924		4	ADRNL,BAT,BLOOD,KIDNEY	FALSE	FALSE	MHC_RT1	high
SLFN4	ENSRNOG00000057092		4	ADRNL,BAT,KIDNEY,WAT-SC	FALSE	FALSE	real_curated	high
TGM2	ENSRNOG00000012956		4	ADRNL,BAT,BLOOD,SPLEEN	FALSE	FALSE	real_curated	high
TUBA1A	ENSRNOG00000060728		4	BLOOD,COLON,HEART,SPLEEN	FALSE	FALSE	real_curated	high
UBA52	ENSRNOG00000019974		4	ADRNL,BLOOD,HEART,KIDNEY	FALSE	FALSE	real_curated	high
UBD	ENSRNOG00000000768		4	ADRNL,BAT,LUNG,SKM-VL	FALSE	FALSE	real_curated	high
VBP1	ENSRNOG00000050401		4	BLOOD,COLON,HEART,WAT-SC	FALSE	FALSE	real_curated	high
AABR07000398.1	ENSRNOG00000047746		3	ADRNL,BAT,COLON	FALSE	FALSE	clone	low
AABR07004993.1	ENSRNOG00000042292		3	ADRNL,OVARY,SMLINT	FALSE	FALSE	clone	low
AABR07051592.2	ENSRNOG00000054125		3	COLON,LUNG,SMLINT	FALSE	FALSE	clone	low
AABR07051611.1	ENSRNOG00000049024		3	ADRNL,SMLINT,WAT-SC	FALSE	FALSE	clone	low
AABR07059308.1	ENSRNOG00000043176		3	ADRNL,BLOOD,SPLEEN	FALSE	FALSE	clone	low
AABR07060963.3	ENSRNOG00000059176		3	COLON,LUNG,SMLINT	FALSE	FALSE	clone	low
AABR07065827.1	ENSRNOG00000049315		3	LUNG,OVARY,SMLINT	FALSE	FALSE	clone	low
AC134224.2	ENSRNOG00000062155		3	ADRNL,BLOOD,SKM-GN	FALSE	FALSE	clone	low
AOC3	ENSRNOG00000051307		3	ADRNL,LUNG,TESTES	FALSE	FALSE	real_curated	med
AY172581.9	ENSRNOG00000030478	ENSRNOG00000030478	3	ADRNL,SKM-VL,SMLINT	TRUE	FALSE	real_curated	med
CCL5	ENSRNOG00000010906		3	BAT,LIVER,WAT-SC	FALSE	FALSE	real_curated	med
CXXC4	ENSRNOG00000045764		3	ADRNL,BLOOD,HIPPOC	FALSE	FALSE	real_curated	med
HBB-B1	ENSRNOG00000047098		3	BLOOD,LUNG,SPLEEN	FALSE	FALSE	hemoglobin	low
HNRNPC	ENSRNOG00000050800		3	ADRNL,HEART,LUNG	FALSE	FALSE	real_curated	med
IGH-6-PS1	ENSRNOG00000029776	ENSRNOG00000029776	3	COLON,LUNG,SMLINT	TRUE	FALSE	immunoglobulin	low
IGKV2-112L2	ENSRNOG00000047571	ENSRNOG00000047571	3	COLON,LUNG,SMLINT	TRUE	FALSE	immunoglobulin	low
MGST3L1	ENSRNOG00000003606		3	HEART,SKM-VL,SPLEEN	FALSE	FALSE	real_curated	med
NKD1	ENSRNOG00000014293		3	ADRNL,LUNG,SPLEEN	FALSE	FALSE	real_curated	med
RHOQ	ENSRNOG00000015415		3	ADRNL,SKM-VL,WAT-SC	FALSE	FALSE	real_curated	med
RPL27A	ENSRNOG00000014214		3	BLOOD,KIDNEY,WAT-SC	FALSE	FALSE	ribosomal	low
RPL36	ENSRNOG00000033473	ENSRNOG00000055777	3	BLOOD,HEART,VENACV	TRUE	FALSE	ribosomal	low
RRM2L1	ENSRNOG00000008450		3	ADRNL,COLON,LUNG	FALSE	FALSE	real_curated	med
SAP25	ENSRNOG00000051023		3	COLON,LUNG,SPLEEN	FALSE	FALSE	real_curated	med
TP53INP1	ENSRNOG00000007964		3	LUNG,OVARY,SMLINT	FALSE	FALSE	real_curated	med
AABR07005844.1	ENSRNOG00000034038		2	SKM-VL,SPLEEN	FALSE	FALSE	clone	low
AABR07006258.1	ENSRNOG00000028444		2	ADRNL,SPLEEN	FALSE	FALSE	clone	low
