feature_ID	n_tissues	tissue
ENSRNOG00000013961	9	ADRNL,BAT,COLON,KIDNEY,LUNG,OVARY,SKM-GN,SKM-VL,SPLEEN
ENSRNOG00000031979	9	ADRNL,BAT,BLOOD,HEART,KIDNEY,LIVER,SKM-GN,SKM-VL,TESTES
ENSRNOG00000007407	8	ADRNL,BAT,BLOOD,COLON,HEART,KIDNEY,SKM-GN,SKM-VL
ENSRNOG00000008816	8	ADRNL,BAT,BLOOD,COLON,LIVER,OVARY,SPLEEN,WAT-SC
ENSRNOG00000022975	8	ADRNL,BAT,BLOOD,LUNG,OVARY,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000030644	8	ADRNL,BAT,HEART,KIDNEY,LIVER,SKM-GN,SKM-VL,TESTES
ENSRNOG00000031766	8	ADRNL,BAT,COLON,HEART,KIDNEY,SKM-GN,SKM-VL,TESTES
ENSRNOG00000033059	8	ADRNL,BAT,BLOOD,COLON,LUNG,OVARY,SPLEEN,WAT-SC
ENSRNOG00000051615	8	ADRNL,BAT,COLON,HEART,SKM-GN,SKM-VL,SPLEEN,WAT-SC
ENSRNOG00000059900	8	ADRNL,BAT,BLOOD,HEART,LIVER,LUNG,SPLEEN,WAT-SC
ENSRNOG00000000655	7	ADRNL,BAT,BLOOD,LUNG,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000001249	7	ADRNL,BAT,LUNG,OVARY,SKM-GN,SKM-VL,WAT-SC
ENSRNOG00000002215	7	ADRNL,BAT,BLOOD,HEART,LUNG,SKM-VL,SPLEEN
ENSRNOG00000005061	7	ADRNL,BAT,BLOOD,COLON,HEART,SKM-VL,SPLEEN
ENSRNOG00000005480	7	ADRNL,BLOOD,COLON,KIDNEY,LUNG,SPLEEN,TESTES
ENSRNOG00000005565	7	ADRNL,BAT,BLOOD,LUNG,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000005825	7	ADRNL,BAT,HEART,KIDNEY,SKM-GN,SPLEEN,WAT-SC
ENSRNOG00000006860	7	ADRNL,BAT,BLOOD,COLON,LUNG,SPLEEN,WAT-SC
ENSRNOG00000007302	7	ADRNL,BAT,HIPPOC,SKM-GN,SKM-VL,TESTES,WAT-SC
ENSRNOG00000008987	7	ADRNL,BAT,BLOOD,COLON,KIDNEY,SKM-GN,SKM-VL
ENSRNOG00000009074	7	ADRNL,BLOOD,LUNG,OVARY,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000010319	7	BAT,CORTEX,HIPPOC,LIVER,LUNG,SMLINT,WAT-SC
ENSRNOG00000010452	7	ADRNL,BAT,COLON,HEART,SKM-GN,SKM-VL,SPLEEN
ENSRNOG00000011058	7	ADRNL,BLOOD,COLON,KIDNEY,LUNG,OVARY,TESTES
ENSRNOG00000012062	7	ADRNL,BAT,BLOOD,COLON,LUNG,SPLEEN,WAT-SC
ENSRNOG00000012181	7	ADRNL,BAT,HEART,HIPPOC,KIDNEY,SKM-VL,TESTES
