feature_ID	gene_symbol	category
ENSRNOG00000000490	Rps10	ribosomal
ENSRNOG00000000505	Rpl10a	ribosomal
ENSRNOG00000000804	Mrps18b	ribosomal
ENSRNOG00000000926	Mrps17	ribosomal
ENSRNOG00000000957	Rpl21	ribosomal
ENSRNOG00000001611	Rpl24	ribosomal
ENSRNOG00000001842	Mrps35	ribosomal
ENSRNOG00000002070	Mrpl1	ribosomal
ENSRNOG00000002178	Mrps18c	ribosomal
ENSRNOG00000002569	Mrps14	ribosomal
ENSRNOG00000002592	Rps6ka6	ribosomal
ENSRNOG00000002943	Mrpl55	ribosomal
ENSRNOG00000003201	Rps4x	ribosomal
ENSRNOG00000003724	Mrpl27	ribosomal
ENSRNOG00000003767	Rps6kc1	ribosomal
ENSRNOG00000003797	Mrps7	ribosomal
ENSRNOG00000003919	Rps6kb1	ribosomal
ENSRNOG00000004107	Rpl23	ribosomal
ENSRNOG00000004196	Rps29	ribosomal
ENSRNOG00000004214	Rpl26	ribosomal
ENSRNOG00000004362	Rps6ka5	ribosomal
ENSRNOG00000004401	Mrpl13	ribosomal
ENSRNOG00000004426	Rps27a	ribosomal
ENSRNOG00000004741	Rpl19	ribosomal
ENSRNOG00000005530	Rps6kl1	ribosomal
ENSRNOG00000005975	Rpl30	ribosomal
ENSRNOG00000006632	Rps6ka3	ribosomal
ENSRNOG00000006898	Mrps16	ribosomal
ENSRNOG00000006968	Mrpl19	ribosomal
ENSRNOG00000006992	Rpl7	ribosomal
ENSRNOG00000007663	Rps6	ribosomal
ENSRNOG00000008140	Rpl15	ribosomal
ENSRNOG00000008256	Mrpl38	ribosomal
ENSRNOG00000008279	Mrps15	ribosomal
ENSRNOG00000008546	Mrpl35	ribosomal
ENSRNOG00000008551	Rps7	ribosomal
ENSRNOG00000008555	Rps20	ribosomal
ENSRNOG00000008566	Mrpl15	ribosomal
ENSRNOG00000009078	Mrpl37	ribosomal
ENSRNOG00000009378	Rpl4	ribosomal
ENSRNOG00000009567	Mrpl10	ribosomal
ENSRNOG00000010164	Mrps2	ribosomal
ENSRNOG00000010189	Rps24	ribosomal
ENSRNOG00000010363	Mrps23	ribosomal
ENSRNOG00000010540	Mrpl45	ribosomal
ENSRNOG00000010746	Rpl32	ribosomal
ENSRNOG00000010855	Mrpl57	ribosomal
ENSRNOG00000010912	Mrps25	ribosomal
ENSRNOG00000011104	Rpl22	ribosomal
ENSRNOG00000011138	Rpl29	ribosomal
ENSRNOG00000011494	Rpl36al	ribosomal
ENSRNOG00000011639	Mrpl47	ribosomal
ENSRNOG00000011817	Rpl22l1	ribosomal
ENSRNOG00000011839	Mrps31	ribosomal
ENSRNOG00000011893	Rps3a	ribosomal
ENSRNOG00000011979	Mrps24	ribosomal
ENSRNOG00000012136	Mrps30	ribosomal
ENSRNOG00000012650	Mrpl3	ribosomal
ENSRNOG00000013194	Rps6ka2	ribosomal
ENSRNOG00000013508	Rpl31	ribosomal
ENSRNOG00000013845	Mrpl21	ribosomal
ENSRNOG00000014179	Rps2	ribosomal
ENSRNOG00000014214	Rpl27a	ribosomal
ENSRNOG00000014272	Rpl35	ribosomal
ENSRNOG00000014582	Mrpl18	ribosomal
ENSRNOG00000014641	Rpl3l	ribosomal
ENSRNOG00000014890	Mrpl43	ribosomal
ENSRNOG00000015192	Mrps5	ribosomal
ENSRNOG00000015231	Mrpl44	ribosomal
ENSRNOG00000015335	Rpl13	ribosomal
ENSRNOG00000015479	Mrps34	ribosomal
ENSRNOG00000015989	Mrpl32	ribosomal
ENSRNOG00000016201	Mrps9	ribosomal
ENSRNOG00000016220	Rpl12	ribosomal
ENSRNOG00000016269	Rpl7l1	ribosomal
ENSRNOG00000016387	Rpl34	ribosomal
ENSRNOG00000016411	Rps12	ribosomal
ENSRNOG00000016580	Rps23	ribosomal
ENSRNOG00000016896	Rpl3	ribosomal
ENSRNOG00000016961	Rps27	ribosomal
ENSRNOG00000017127	Rpl28	ribosomal
ENSRNOG00000017272	Mrps27	ribosomal
ENSRNOG00000017418	Rps3	ribosomal
ENSRNOG00000017552	Mrpl34	ribosomal
ENSRNOG00000017847	Rps19bp1	ribosomal
ENSRNOG00000018042	Mrpl48	ribosomal
ENSRNOG00000018057	Mrpl2	ribosomal
ENSRNOG00000018320	Rps15a	ribosomal
ENSRNOG00000018531	Mrps11	ribosomal
ENSRNOG00000018547	Mrpl46	ribosomal
ENSRNOG00000018645	Rpsa	ribosomal
ENSRNOG00000018647	Mrpl20	ribosomal
ENSRNOG00000018680	Rpl17	ribosomal
ENSRNOG00000018774	Rps14	ribosomal
ENSRNOG00000018795	Rpl18a	ribosomal
ENSRNOG00000019007	Rpl14	ribosomal
ENSRNOG00000019106	Rps17	ribosomal
ENSRNOG00000019165	Mrpl51	ribosomal
ENSRNOG00000019453	Rps5	ribosomal
ENSRNOG00000019497	Mrpl17	ribosomal
ENSRNOG00000019511	Mrps18a	ribosomal
ENSRNOG00000019578	Rps16	ribosomal
ENSRNOG00000019734	Mrpl14	ribosomal
ENSRNOG00000019949	Mrps12	ribosomal
ENSRNOG00000019970	mrpl11	ribosomal
ENSRNOG00000020354	Mrpl23	ribosomal
ENSRNOG00000020464	Mrpl54	ribosomal
ENSRNOG00000020492	Rps27a-ps28	ribosomal
ENSRNOG00000020595	Rps11	ribosomal
ENSRNOG00000020659	Mrpl4	ribosomal
ENSRNOG00000020674	Rpl27	ribosomal
ENSRNOG00000020869	mrpl9	ribosomal
ENSRNOG00000020975	Mrpl49	ribosomal
ENSRNOG00000021005	Mrpl16	ribosomal
ENSRNOG00000021035	Rpl18	ribosomal
ENSRNOG00000021117	Rps6ka4	ribosomal
ENSRNOG00000021224	Mrps26	ribosomal
ENSRNOG00000021689	Rps6kb2	ribosomal
ENSRNOG00000022234	mrpl24	ribosomal
