feature_ID	gene_symbol	chromosome
ENSRNOG00000000001	Arsj	2
ENSRNOG00000000007	Gad1	3
ENSRNOG00000000008	Alx4	3
ENSRNOG00000000009	Tmco5b	3
ENSRNOG00000000010	Cbln1	19
ENSRNOG00000000012	Tcf15	3
ENSRNOG00000000017	Steap1	4
ENSRNOG00000000024	Hebp1	4
ENSRNOG00000000033	Tmcc2	13
ENSRNOG00000000034	Nuak2	13
ENSRNOG00000000035	Tmed11	14
ENSRNOG00000000036	Klhdc8a	13
ENSRNOG00000000040	Kiaa1614	13
ENSRNOG00000000041	Slc26a1	14
ENSRNOG00000000042	Xpr1	13
ENSRNOG00000000043	Idua	14
ENSRNOG00000000044	Tmem175	14
ENSRNOG00000000047	Cd82	3
ENSRNOG00000000048	Gak	14
ENSRNOG00000000053	Crp	13
ENSRNOG00000000054	Abhd8	16
ENSRNOG00000000055	Fcrl6	13
ENSRNOG00000000062	Pcgf3	14
ENSRNOG00000000064	Atp5me	14
ENSRNOG00000000065	Pde6b	14
ENSRNOG00000000066	Fbxo28	13
ENSRNOG00000000068	Ppp2r5a	13
ENSRNOG00000000070	Dr1	14
ENSRNOG00000000073	Tmed5	14
ENSRNOG00000000075	Mtf2	14
ENSRNOG00000000081	Antxr2	14
ENSRNOG00000000082	Hltf	2
ENSRNOG00000000091	Smad9	2
ENSRNOG00000000095	Gpr89b	2
ENSRNOG00000000096	Pdzk1	2
ENSRNOG00000000097	Cd160	2
ENSRNOG00000000098	Rnf115	2
ENSRNOG00000000104	Thoc3	17
ENSRNOG00000000105	Cplx2	17
ENSRNOG00000000108	Aga	16
ENSRNOG00000000109	Fgf20	16
ENSRNOG00000000111	Coprs	16
ENSRNOG00000000112	Champ1	16
ENSRNOG00000000113	Elac1	18
ENSRNOG00000000121	Pigv	5
ENSRNOG00000000122	Ak2	5
ENSRNOG00000000123	Rnf19b	5
ENSRNOG00000000127	Kpna6	5
ENSRNOG00000000129	Phf24	5
ENSRNOG00000000130	Dnajb5	5
ENSRNOG00000000133	Txndc15	17
ENSRNOG00000000137	Ly86	17
ENSRNOG00000000138	Glis1	5
ENSRNOG00000000142	Plxdc2	17
ENSRNOG00000000145	Pik3r3	5
ENSRNOG00000000150	Dnajc1	17
ENSRNOG00000000151	Ldlrap1	5
ENSRNOG00000000155	Cog3	15
ENSRNOG00000000156	Megf6	5
ENSRNOG00000000157	Atg12	18
ENSRNOG00000000158	Cdo1	18
ENSRNOG00000000161	Chm	X
ENSRNOG00000000164	Lamp2	X
ENSRNOG00000000165	Pfkfb1	X
ENSRNOG00000000166	Apex2	X
ENSRNOG00000000167	Alas2	X
ENSRNOG00000000168	Gatm	3
ENSRNOG00000000169	Afg2b	3
ENSRNOG00000000170	Slc30a4	3
ENSRNOG00000000172	Sqor	3
ENSRNOG00000000175	Mier2	7
ENSRNOG00000000177	Plpp2	7
ENSRNOG00000000184	Tmprss6	7
ENSRNOG00000000185	Mpst	7
ENSRNOG00000000186	Tst	7
ENSRNOG00000000187	Csf2rb	7
ENSRNOG00000000195	Vwa5a	8
ENSRNOG00000000196	Cyp19a1	8
ENSRNOG00000000201	Gsta5	8
ENSRNOG00000000204	Syncrip	8
ENSRNOG00000000219	Ano10	8
ENSRNOG00000000221	Abhd5	8
ENSRNOG00000000230	Lmf1	10
ENSRNOG00000000231	Kctd17	7
ENSRNOG00000000233	Grm6	10
ENSRNOG00000000236	Zfp207	10
ENSRNOG00000000237	C10h17orf75	10
ENSRNOG00000000239	Ccl7	10
ENSRNOG00000000244	Coil	10
ENSRNOG00000000245	Slc16a6	10
ENSRNOG00000000246	Amz2	10
ENSRNOG00000000247	Mfsd11	10
ENSRNOG00000000248	Srsf2	10
ENSRNOG00000000249	Mettl23	10
ENSRNOG00000000250	Jmjd6	10
ENSRNOG00000000251	St6galnac1	10
ENSRNOG00000000257	Smpd3	19
ENSRNOG00000000258	Prmt7	19
ENSRNOG00000000262	Zfp821	19
ENSRNOG00000000264	Def8	19
ENSRNOG00000000274	Phyhipl	20
ENSRNOG00000000275	Fam13c	20
ENSRNOG00000000277	Tet1	20
ENSRNOG00000000279	Rtn4ip1	20
ENSRNOG00000000281	Prodh	11
ENSRNOG00000000282	Gsc2	11
ENSRNOG00000000283	Ess2	11
ENSRNOG00000000288	Scarf2	11
ENSRNOG00000000299	Foxo3	20
ENSRNOG00000000302	Sesn1	20
ENSRNOG00000000303	Cep57l1	20
ENSRNOG00000000304	Cd164	20
ENSRNOG00000000306	Smpd2	20
ENSRNOG00000000307	Mical1	20
ENSRNOG00000000308	Zbtb24	20
ENSRNOG00000000312	Fig4	20
ENSRNOG00000000314	Sec63	20
ENSRNOG00000000316	Sobp	20
ENSRNOG00000000321	Cd24	20
ENSRNOG00000000322	Atg5	20
ENSRNOG00000000323	Prdm1	20
ENSRNOG00000000327	Hace1	20
ENSRNOG00000000335	Ermap	5
ENSRNOG00000000340	Rtraf	15
ENSRNOG00000000341	Nid2	15
ENSRNOG00000000368	Grik2	20
ENSRNOG00000000373	Ctnna3	20
ENSRNOG00000000376	Tmem167b-ps1	20
ENSRNOG00000000383	Mypn	20
ENSRNOG00000000386	Pbld1	20
ENSRNOG00000000387	Slc25a16	20
ENSRNOG00000000392	Supv3l1	20
ENSRNOG00000000394	Srgn	20
ENSRNOG00000000395	Kifbp	20
ENSRNOG00000000396	Ddx50	20
ENSRNOG00000000397	Ccar1	20
ENSRNOG00000000398	Zup1	20
ENSRNOG00000000401	Gprc6a	20
ENSRNOG00000000405	Vgll2	20
ENSRNOG00000000406	Ros1	20
ENSRNOG00000000407	Dcbld1	20
